,Wave,Age,Gender,Location,MajorCategory,Category,Channel,Budget,InteractionType,TotalSales
0,1,C,F,Tier 2,Skincare,Lotions,Online,100000,Click,100000
1,1,B,M,Tier 5,Skincare,Lipstick,Online,100000,View,750000
2,1,F,M,Tier 5,Makeup,Serums,Mobile,375000,Basket Add,100000
3,1,E,M,Tier 2,Skincare,Foundation,Social Media,375000,Click,375000
4,1,E,F,Tier 2,Makeup,Foundation,Online,25000,View,375000
5,1,D,F,Tier 4,Makeup,Lipstick,Social Media,200000,Click,200000
6,1,C,F,Tier 3,Makeup,Lipstick,B&M,375000,View,100000
7,1,C,M,Tier 5,Makeup,Foundation,Mobile,25000,View,750000
8,1,C,F,Tier 4,Makeup,Lotions,Social Media,25000,Purchase,25000
9,1,E,F,Tier 3,Makeup,Serums,Mobile,375000,Basket Add,750000
10,1,F,F,Tier 4,Skincare,Lipstick,B&M,25000,Click,25000
11,1,E,M,Tier 3,Skincare,Foundation,Social Media,25000,Basket Add,100000
12,1,F,M,Tier 1,Makeup,Lotions,Social Media,750000,Basket Add,375000
13,1,F,M,Tier 4,Skincare,Lipstick,Mobile,200000,Purchase,200000
14,1,A,F,Tier 2,Skincare,Serums,Mobile,25000,Click,750000
15,1,F,F,Tier 5,Makeup,Lipstick,Online,750000,Basket Add,100000
16,1,C,M,Tier 4,Skincare,Foundation,Mobile,200000,Basket Add,100000
17,1,F,F,Tier 3,Makeup,Serums,Mobile,100000,Basket Add,25000
18,1,A,M,Tier 3,Skincare,Serums,Mobile,200000,Click,100000
19,1,F,F,Tier 3,Skincare,Foundation,B&M,750000,Basket Add,375000
20,1,D,M,Tier 3,Skincare,Serums,B&M,375000,Click,100000
21,1,C,M,Tier 4,Makeup,Serums,Social Media,750000,Click,375000
22,1,E,M,Tier 5,Skincare,Lipstick,Online,375000,Purchase,100000
23,1,E,F,Tier 4,Makeup,Foundation,Social Media,25000,Purchase,25000
24,1,D,F,Tier 3,Makeup,Serums,Online,375000,Purchase,375000
25,1,A,M,Tier 3,Makeup,Lotions,Mobile,25000,Click,375000
26,1,A,M,Tier 1,Skincare,Serums,B&M,750000,Purchase,750000
27,1,A,F,Tier 3,Makeup,Foundation,Mobile,100000,View,200000
28,1,D,F,Tier 2,Makeup,Serums,Online,25000,Basket Add,25000
29,1,B,M,Tier 2,Skincare,Foundation,B&M,100000,Click,750000
30,1,D,F,Tier 4,Skincare,Lipstick,Mobile,25000,Basket Add,100000
31,1,E,M,Tier 1,Makeup,Lipstick,Mobile,375000,Purchase,200000
32,1,E,F,Tier 2,Makeup,Serums,B&M,25000,Basket Add,200000
33,1,E,F,Tier 3,Skincare,Serums,Online,100000,View,25000
34,1,B,M,Tier 3,Skincare,Foundation,Online,375000,Purchase,375000
35,1,E,F,Tier 2,Makeup,Serums,Online,375000,Purchase,375000
36,1,D,M,Tier 4,Makeup,Lotions,B&M,100000,Purchase,375000
37,1,F,M,Tier 4,Skincare,Serums,Online,375000,Purchase,200000
38,1,A,M,Tier 5,Makeup,Foundation,Mobile,200000,View,375000
39,1,E,F,Tier 4,Makeup,Lotions,B&M,100000,View,100000
40,1,C,F,Tier 5,Makeup,Lotions,Mobile,25000,Basket Add,25000
41,1,C,F,Tier 1,Makeup,Serums,Social Media,375000,Purchase,750000
42,1,D,F,Tier 4,Skincare,Foundation,Online,100000,Basket Add,375000
43,1,F,F,Tier 3,Makeup,Foundation,Social Media,375000,Basket Add,200000
44,1,B,M,Tier 2,Skincare,Foundation,Social Media,750000,Basket Add,200000
45,1,F,F,Tier 4,Skincare,Lipstick,Mobile,200000,Click,375000
46,1,E,F,Tier 1,Makeup,Lipstick,Mobile,25000,View,750000
47,1,B,M,Tier 4,Skincare,Lotions,B&M,100000,Purchase,375000
48,1,D,F,Tier 2,Skincare,Lipstick,Mobile,25000,Purchase,750000
49,1,C,M,Tier 3,Skincare,Lipstick,B&M,25000,Purchase,200000
50,1,E,F,Tier 2,Skincare,Lipstick,B&M,375000,Click,25000
51,1,F,M,Tier 1,Makeup,Serums,Social Media,750000,Click,100000
52,1,E,M,Tier 3,Makeup,Serums,B&M,200000,Click,375000
53,1,D,M,Tier 4,Makeup,Lotions,B&M,750000,Basket Add,375000
54,1,A,F,Tier 2,Makeup,Lipstick,Online,100000,Basket Add,200000
55,1,D,M,Tier 2,Makeup,Lotions,Mobile,100000,Basket Add,375000
56,1,B,M,Tier 2,Skincare,Lipstick,B&M,25000,Basket Add,25000
57,1,A,F,Tier 2,Skincare,Lipstick,B&M,375000,Basket Add,100000
58,1,F,F,Tier 3,Skincare,Lotions,Online,25000,Basket Add,750000
59,1,B,M,Tier 1,Makeup,Lotions,B&M,750000,View,375000
60,1,C,M,Tier 5,Skincare,Lotions,Social Media,100000,Purchase,100000
61,1,B,M,Tier 1,Makeup,Lotions,Social Media,750000,Click,750000
62,1,A,M,Tier 1,Makeup,Foundation,Social Media,375000,View,375000
63,1,A,F,Tier 3,Skincare,Lotions,Mobile,375000,View,750000
64,1,E,M,Tier 1,Makeup,Serums,Social Media,25000,Click,375000
65,1,F,M,Tier 3,Skincare,Foundation,Mobile,375000,Purchase,100000
66,1,F,F,Tier 3,Makeup,Foundation,Online,375000,View,375000
67,1,D,M,Tier 1,Skincare,Lipstick,B&M,375000,Purchase,25000
68,1,B,M,Tier 3,Skincare,Foundation,Online,750000,Click,375000
69,1,C,F,Tier 1,Makeup,Lipstick,Social Media,25000,Basket Add,100000
70,1,F,F,Tier 4,Makeup,Serums,Mobile,200000,Click,375000
71,1,F,M,Tier 2,Skincare,Lotions,Online,375000,View,375000
72,1,E,M,Tier 5,Makeup,Foundation,Social Media,25000,Basket Add,750000
73,1,E,M,Tier 2,Makeup,Serums,Mobile,750000,Basket Add,100000
74,1,B,F,Tier 4,Skincare,Serums,Online,100000,Basket Add,200000
75,1,F,F,Tier 4,Skincare,Lotions,Online,25000,Click,750000
76,1,D,F,Tier 2,Makeup,Lipstick,Mobile,750000,View,375000
77,1,E,M,Tier 1,Skincare,Serums,Social Media,25000,View,200000
78,1,F,F,Tier 1,Makeup,Serums,Mobile,25000,Basket Add,375000
79,1,D,M,Tier 3,Skincare,Lipstick,B&M,25000,Click,200000
80,1,C,F,Tier 2,Makeup,Foundation,B&M,375000,View,100000
81,1,A,F,Tier 5,Makeup,Lipstick,Social Media,200000,Purchase,25000
