ICS Segment,Average Purchase Value,Purchase Frequency,Preferred Purchase Channel,Peak Purchase Time,Stickiness,Date,,
Sustainable Innovators,88.31634761094361,6,Mobile App,Night,0.17308697467209394,2023-01-01,,
Digital Enthusiasts,190.05799486013774,2,In-store,Night,0.253780592,2023-01-01,,
Dynamic Professionals,106.09887338010543,7,Mobile App,Evening,0.14802485410948032,2023-01-01,,
Sustainable Innovators,151.7694567915301,9,In-store,Night,0.532162783,2023-01-15,,
Digital Enthusiasts,157.4530927946525,9,In-store,Afternoon,0.9876939654495855,2023-01-15,,
Dynamic Professionals,60.38803388771956,1,Mobile App,Night,0.7842169716665195,2023-01-15,,
Sustainable Innovators,166.34964299558135,9,In-store,Morning,0.9748850684221462,2023-02-01,,
Digital Enthusiasts,185.22661910492997,1,Online,Morning,0.40609173932061593,2023-02-01,,
Dynamic Professionals,124.27157131824771,1,Online,Morning,0.3362917167178955,2023-02-01,,
Sustainable Innovators,72.00128151909996,8,Online,Night,0.9628435913006256,2023-02-15,,
Digital Enthusiasts,193.41977487357383,7,Online,Evening,0.3370340107581883,2023-02-15,,
Dynamic Professionals,184.86712320642062,6,In-store,Afternoon,0.19353372353316553,2023-02-15,,
Sustainable Innovators,140.8809236569116,9,Mobile App,Afternoon,0.9873693456492091,2023-03-01,,
Digital Enthusiasts,76.81928523934043,5,In-store,Night,0.9615195158204982,2023-03-01,,
Dynamic Professionals,153.16058019986446,8,Online,Evening,0.2820254282423966,2023-03-01,,
Sustainable Innovators,111.7252919118699,1,Mobile App,Night,0.338605505,2023-03-15,,
Digital Enthusiasts,129.00163994171345,1,Online,Evening,0.5520245839236289,2023-03-15,,
Dynamic Professionals,90.09630341275624,5,Mobile App,Morning,0.1955692649160135,2023-03-15,,
Sustainable Innovators,109.01969206953115,7,Mobile App,Evening,0.7596794505106688,2023-04-01,,
Digital Enthusiasts,127.46005738212907,6,Mobile App,Morning,0.6988332962320196,2023-04-01,,
Dynamic Professionals,111.95410787284635,2,Online,Night,0.6588138142431823,2023-04-01,,
Sustainable Innovators,128.61206557693708,6,Mobile App,Afternoon,0.3648723312055939,2023-04-15,,
Digital Enthusiasts,88.65585998062843,2,In-store,Morning,0.49684769089659353,2023-04-15,,
Dynamic Professionals,132.0330208524374,6,Online,Night,0.23343171579443756,2023-04-15,,
Sustainable Innovators,62.048119928510246,2,Mobile App,Evening,0.230839611,2023-05-01,,
Digital Enthusiasts,101.20787748478791,2,Online,Night,0.36744220773530334,2023-05-01,,
Dynamic Professionals,171.77091156056508,7,Mobile App,Evening,0.4284142281523471,2023-05-01,,
Sustainable Innovators,139.11676527393632,6,Mobile App,Afternoon,0.8174804090346715,2023-05-15,,
Digital Enthusiasts,171.82118185259148,5,In-store,Morning,0.1442769046840349,2023-05-15,,
Dynamic Professionals,102.22575335462456,9,Mobile App,Evening,0.10249143317479187,2023-05-15,,
Sustainable Innovators,156.52259164649257,1,Mobile App,Night,0.9241676268818723,2023-06-01,,
Digital Enthusiasts,98.52964740599865,2,In-store,Morning,0.9004708384888723,2023-06-01,,
Dynamic Professionals,72.97325108797024,4,Online,Afternoon,0.8179032727008388,2023-06-01,,
Sustainable Innovators,181.2989046,4,Mobile App,Morning,0.9168512625453324,2023-06-15,,
Digital Enthusiasts,86.35269757991784,5,Mobile App,Night,0.562992251,2023-06-15,,
Dynamic Professionals,100.12582175613714,3,Mobile App,Morning,0.9125687670207278,2023-06-15,,
Sustainable Innovators,152.2641335,8,Mobile App,Afternoon,0.29365224579984806,2023-07-01,,
Digital Enthusiasts,191.8747005,9,Mobile App,Evening,0.7504187992065804,2023-07-01,,
Dynamic Professionals,100.92061419331353,2,Mobile App,Morning,0.45076442949221385,2023-07-01,,
Sustainable Innovators,79.69734857330702,4,In-store,Night,0.8285301538338229,2023-07-15,,
Digital Enthusiasts,129.57089173422912,4,Online,Night,0.6688331983971177,2023-07-15,,
Dynamic Professionals,53.475698380415466,7,Mobile App,Evening,0.5750230516718278,2023-07-15,,
Sustainable Innovators,61.53975554753259,6,Mobile App,Night,0.5621943676945493,2023-08-01,,
Digital Enthusiasts,198.51494188026754,6,Mobile App,Evening,0.9068677662042216,2023-08-01,,
Dynamic Professionals,131.63104077954347,7,Online,Night,0.5915343026996431,2023-08-01,,
Sustainable Innovators,172.84185164181793,7,Mobile App,Evening,0.24201019747813843,2023-08-15,,
Digital Enthusiasts,194.8248759521631,1,Mobile App,Morning,0.7845250207977089,2023-08-15,,
Dynamic Professionals,79.48878220979007,1,Online,Afternoon,0.1975169332691582,2023-08-15,,
Sustainable Innovators,119.75625073166104,5,In-store,Afternoon,0.12638905429519826,2023-09-01,,
Digital Enthusiasts,126.1475608388504,6,Online,Morning,0.8930671816047254,2023-09-01,,
Dynamic Professionals,175.84583035914994,3,Mobile App,Evening,0.5810346651763015,2023-09-01,,
Sustainable Innovators,128.84523062381618,9,Mobile App,Night,0.5728564656613081,2023-09-15,,
Digital Enthusiasts,153.69017094530068,3,Mobile App,Night,0.29548747988750673,2023-09-15,,
Dynamic Professionals,179.29482648737985,4,Mobile App,Night,0.39305746536009467,2023-09-15,,
Sustainable Innovators,82.21396749731366,6,Mobile App,Night,0.3240794539510641,2023-10-01,,
Digital Enthusiasts,116.2929184671031,4,In-store,Evening,0.4878508229223658,2023-10-01,,
Dynamic Professionals,97.68813635520968,1,Mobile App,Afternoon,0.29782521738161966,2023-10-01,,
Sustainable Innovators,56.13720265426504,5,In-store,Night,0.3134957084695099,2023-10-15,,
Digital Enthusiasts,51.72370248649101,5,In-store,Afternoon,0.4015595890074667,2023-10-15,,
Dynamic Professionals,134.08309907661345,1,Online,Night,0.23216463166509976,2023-10-15,,
Sustainable Innovators,118.51756948809594,2,Online,Evening,0.5610144896362173,2023-11-01,,
Digital Enthusiasts,88.88389118008504,8,Mobile App,Evening,0.8858610439140626,2023-11-01,,
Dynamic Professionals,141.50380347774308,1,In-store,Evening,0.7001247899416724,2023-11-01,,
Sustainable Innovators,186.95250164739025,6,Online,Morning,0.6915114702815466,2023-11-15,,
Digital Enthusiasts,199.41919504556463,1,Mobile App,Afternoon,0.21422972341586344,2023-11-15,,
Dynamic Professionals,97.45526602,2,In-store,Morning,0.2605933076728834,2023-11-15,,
Sustainable Innovators,67.53046791258572,8,Online,Morning,0.8242752588279116,2023-12-01,,
Digital Enthusiasts,66.16470580258058,3,In-store,Night,0.7713021884419239,2023-12-01,,
Dynamic Professionals,196.65760914224452,4,Online,Night,0.3266612040097645,2023-12-01,,
Sustainable Innovators,167.20365259271742,6,Mobile App,Evening,0.933517144,2023-12-15,,
Digital Enthusiasts,68.19612005,2,Mobile App,Morning,0.39945482920003006,2023-12-15,,
Dynamic Professionals,130.51693025132667,3,Mobile App,Evening,0.3394294538539566,2023-12-15,,
Sustainable Innovators,174.60739828596837,2,In-store,Morning,0.6440624040551826,2024-01-01,,
Digital Enthusiasts,135.3582254812892,6,In-store,Morning,0.8781131364925695,2024-01-01,,
Dynamic Professionals,134.74610108547824,6,Mobile App,Morning,0.545233237,2024-01-15,,
Sustainable Innovators,58.794804983887275,4,In-store,Afternoon,0.5250325751078465,2024-01-15,,
Digital Enthusiasts,166.3799244783986,4,Mobile App,Morning,0.17826235939791016,2024-01-15,,
Dynamic Professionals,184.2080232020476,8,Mobile App,Morning,0.98258908,2024-01-01,,
Sustainable Innovators,143.74565453390906,6,Mobile App,Morning,0.6764225157486425,2024-02-01,,
Digital Enthusiasts,134.7923422659844,9,Online,Night,0.9557505847790101,2024-02-01,,
Dynamic Professionals,52.57188949370723,6,In-store,Night,0.5454052210148931,2024-02-01,,
Sustainable Innovators,191.13102148752125,8,Online,Morning,0.9487322178138214,2024-02-15,,
Digital Enthusiasts,62.57613593,2,Mobile App,Afternoon,0.1985788674310756,2024-02-15,,
Dynamic Professionals,149.7988356694986,7,Online,Afternoon,0.6370029809387618,2024-02-15,,
Sustainable Innovators,107.35390069013457,2,Online,Night,0.7906350785311463,2024-03-01,,
Digital Enthusiasts,183.64026960907245,8,Mobile App,Morning,0.263214841,2024-03-01,,
Dynamic Professionals,89.73430551837549,8,Mobile App,Afternoon,0.47190084964004075,2024-03-01,,
Sustainable Innovators,92.69570264677324,9,Mobile App,Morning,0.9935592182690333,2024-03-15,,
Digital Enthusiasts,109.78090378387076,4,Online,Night,0.5168595529993464,2024-03-15,,
Dynamic Professionals,91.71459615469644,1,Mobile App,Afternoon,0.20328341097195485,2024-03-15,,
